Number,Name,Population,Susceptible,Infected,xloc,yloc,Category
1,Alpha,10000,10000,0,2,2,High
2,Beta,30000,30000,0,4,8,Middle
3,Gamma,25000,25000,0,10,11,Low
4,Delta,10000,10000,0,2,5,High
5,Epsilon,12000,12000,0,1,1,Low
6,Zeta,20000,20000,0,7,10,Middle
7,Eta,18000,18000,0,1,15,Low
8,Theta,10000,10000,0,8,1,High
9,Iota,30000,30000,0,7,5,Middle
10,Kappa,25000,25000,0,3,3,High
11,Lambda,10000,10000,0,4,9,Middle
12,Mu,12000,12000,0,4,1,Low
13,Nu,20000,20000,0,5,3,High
14,Xi,18000,18000,0,12,12,Low
15,Omicron,10000,10000,0,13,1,Middle
16,Pi,30000,30000,0,18,4,Low
17,Rho,25000,25000,0,29,1,High
18,Sigma,10000,10000,0,7,7,Middle
19,Tau,12000,12000,0,8,12,High
20,Upsilon,20000,20000,0,9,1,Middle
21,Phi,18000,18000,0,20,20,Low
22,Chi,25000,25000,0,8,29,High
23,Psi,10000,10000,0,12,18,Low
24,Omega,12000,12000,0,1,0,Middle
