Name,ModelSector,Category,Minimum,Maximum,TestValue
EffectiveContacts,Transmission,High,1,1,2
EffectiveContacts,Transmission,Middle,1.5,1.5,2
EffectiveContacts,Transmission,Low,2,2,2
InfectiousDelay,Transmission,High,1.5,1.5,2
InfectiousDelay,Transmission,Middle,2,2,2
InfectiousDelay,Transmission,Low,3,3,2
MorbidityFraction,Transmission,High,0.03,0.03,0.01
MorbidityFraction,Transmission,Middle,0.06,0.06,0.01
MorbidityFraction,Transmission,Low,0.12,0.12,0.01
QuarantineDelay,Transmission,High,0.5,0.5,1
QuarantineDelay,Transmission,Middle,1.5,1.5,1
QuarantineDelay,Transmission,Low,2.5,2.5,1
QuarantineFraction,Transmission,High,0.4,0.4,0.5
QuarantineFraction,Transmission,Middle,0.2,0.2,0.5
QuarantineFraction,Transmission,Low,0.1,0.1,0.5
ReportingDelay,Transmission,High,1,1,4
ReportingDelay,Transmission,Middle,2,2,4
ReportingDelay,Transmission,Low,3,3,4
RecoveryDelayNoResources,Transmission,High,3,3,28
RecoveryDelayNoResources,Transmission,Middle,5,5,28
RecoveryDelayNoResources,Transmission,Low,7,7,28
RecoveryDelayResources,Transmission,High,1,1,15
RecoveryDelayResources,Transmission,Middle,3,3,15
RecoveryDelayResources,Transmission,Low,5,5,15
InitialFinancialResources,Finance,High,75000,75000,10000
InitialFinancialResources,Finance,Middle,30000,30000,10000
InitialFinancialResources,Finance,Low,10000,10000,10000
VaccineCostPerUnit,Finance,High,3,3,1
VaccineCostPerUnit,Finance,Middle,4,4,1
VaccineCostPerUnit,Finance,Low,5,5,1
AntiviralCostPerUnit,Finance,High,4,4,1
AntiviralCostPerUnit,Finance,Middle,6,6,1
AntiviralCostPerUnit,Finance,Low,8,8,1
VentilatorCostPerUnit,Finance,High,10,10,1
VentilatorCostPerUnit,Finance,Middle,20,20,1
VentilatorCostPerUnit,Finance,Low,30,30,1
VaccineDispensingDelay,Vaccine,High,1,1,1
VaccineDispensingDelay,Vaccine,Middle,1,1,1
VaccineDispensingDelay,Vaccine,Low,1,1,1
VaccineShipmentDelay,Vaccine,High,1,1,4
VaccineShipmentDelay,Vaccine,Middle,2,2,4
VaccineShipmentDelay,Vaccine,Low,3,3,4
VaccineSpoilageFraction,Vaccine,High,0.05,0.05,0
VaccineSpoilageFraction,Vaccine,Middle,0.1,0.1,0
VaccineSpoilageFraction,Vaccine,Low,0.2,0.2,0
InitVaccineStockpile,Vaccine,High,2000,2000,100
InitVaccineStockpile,Vaccine,Middle,1000,1000,100
InitVaccineStockpile,Vaccine,Low,100,100,100
AntiviralDispensingDelay,Antiviral,High,1,1,1
AntiviralDispensingDelay,Antiviral,Middle,1,1,1
AntiviralDispensingDelay,Antiviral,Low,1,1,1
AntiviralShipmentDelay,Antiviral,High,1,1,4
AntiviralShipmentDelay,Antiviral,Middle,2,2,4
AntiviralShipmentDelay,Antiviral,Low,3,3,4
AntiviralSpoilageFraction,Antiviral,High,0.01,0.01,0
AntiviralSpoilageFraction,Antiviral,Middle,0.05,0.05,0
AntiviralSpoilageFraction,Antiviral,Low,0.12,0.12,0
InitAntiviralStockpile,Antiviral,High,1500,1500,100
InitAntiviralStockpile,Antiviral,Middle,500,500,100
InitAntiviralStockpile,Antiviral,Low,100,100,100
VentilatorDispensingDelay,Antiviral,High,1,1,1
VentilatorDispensingDelay,Antiviral,Middle,1,1,1
VentilatorDispensingDelay,Antiviral,Low,1,1,1
VentilatorShipmentDelay,Antiviral,High,1,1,4
VentilatorShipmentDelay,Antiviral,Middle,2,2,4
VentilatorShipmentDelay,Antiviral,Low,3,3,4
VentilatorSpoilageFraction,Antiviral,High,0.01,0.01,0
VentilatorSpoilageFraction,Antiviral,Middle,0.05,0.05,0
VentilatorSpoilageFraction,Antiviral,Low,0.1,0.1,0
InitVentilatorStockpile,Antiviral,High,200,200,100
InitVentilatorStockpile,Antiviral,Middle,60,60,100
InitVentilatorStockpile,Antiviral,Low,12,12,100
DaysLostFraction,Economic,High,0.9,0.9,0.7
DaysLostFraction,Economic,Middle,0.7,0.7,0.7
DaysLostFraction,Economic,Low,0.5,0.5,0.7
AverageWorkerProductivity,Economic,High,450,450,300
AverageWorkerProductivity,Economic,Middle,300,300,300
AverageWorkerProductivity,Economic,Low,100,100,300
