"from","to","resource","amount","startTime","stopTime"
"Alpha","Alpha","financial",0,0,1
"Alpha","Beta","financial",0,0,1
"Alpha","Gamma","financial",0,0,1
"Alpha","Delta","financial",0,0,1
"Alpha","Epsilon","financial",0,0,1
"Alpha","Zeta","financial",0,0,1
"Alpha","Eta","financial",0,0,1
"Alpha","Theta","financial",0,0,1
"Alpha","Iota","financial",0,0,1
"Alpha","Kappa","financial",0,0,1
"Alpha","Alpha","vaccines",0,0,1
"Alpha","Beta","vaccines",0,0,1
"Alpha","Gamma","vaccines",0,0,1
"Alpha","Delta","vaccines",0,0,1
"Alpha","Epsilon","vaccines",0,0,1
"Alpha","Zeta","vaccines",0,0,1
"Alpha","Eta","vaccines",0,0,1
"Alpha","Theta","vaccines",0,0,1
"Alpha","Iota","vaccines",0,0,1
"Alpha","Kappa","vaccines",0,0,1
"Alpha","Alpha","antivirals",0,0,1
"Alpha","Beta","antivirals",0,0,1
"Alpha","Gamma","antivirals",0,0,1
"Alpha","Delta","antivirals",0,0,1
"Alpha","Epsilon","antivirals",0,0,1
"Alpha","Zeta","antivirals",0,0,1
"Alpha","Eta","antivirals",0,0,1
"Alpha","Theta","antivirals",0,0,1
"Alpha","Iota","antivirals",0,0,1
"Alpha","Kappa","antivirals",0,0,1
"Alpha","Alpha","ventilators",0,0,1
"Alpha","Beta","ventilators",0,0,1
"Alpha","Gamma","ventilators",0,0,1
"Alpha","Delta","ventilators",0,0,1
"Alpha","Epsilon","ventilators",0,0,1
"Alpha","Zeta","ventilators",0,0,1
"Alpha","Eta","ventilators",0,0,1
"Alpha","Theta","ventilators",0,0,1
"Alpha","Iota","ventilators",0,0,1
"Alpha","Kappa","ventilators",0,0,1
"Beta","Beta","financial",0,0,1
"Beta","Alpha","financial",0,0,1
"Beta","Gamma","financial",0,0,1
"Beta","Delta","financial",0,0,1
"Beta","Epsilon","financial",0,0,1
"Beta","Zeta","financial",0,0,1
"Beta","Eta","financial",0,0,1
"Beta","Theta","financial",0,0,1
"Beta","Iota","financial",0,0,1
"Beta","Kappa","financial",0,0,1
"Beta","Beta","vaccines",0,0,1
"Beta","Alpha","vaccines",0,0,1
"Beta","Gamma","vaccines",0,0,1
"Beta","Delta","vaccines",0,0,1
"Beta","Epsilon","vaccines",0,0,1
"Beta","Zeta","vaccines",0,0,1
"Beta","Eta","vaccines",0,0,1
"Beta","Theta","vaccines",0,0,1
"Beta","Iota","vaccines",0,0,1
"Beta","Kappa","vaccines",0,0,1
"Beta","Beta","antivirals",0,0,1
"Beta","Alpha","antivirals",0,0,1
"Beta","Gamma","antivirals",0,0,1
"Beta","Delta","antivirals",0,0,1
"Beta","Epsilon","antivirals",0,0,1
"Beta","Zeta","antivirals",0,0,1
"Beta","Eta","antivirals",0,0,1
"Beta","Theta","antivirals",0,0,1
"Beta","Iota","antivirals",0,0,1
"Beta","Kappa","antivirals",0,0,1
"Beta","Beta","ventilators",0,0,1
"Beta","Alpha","ventilators",0,0,1
"Beta","Gamma","ventilators",0,0,1
"Beta","Delta","ventilators",0,0,1
"Beta","Epsilon","ventilators",0,0,1
"Beta","Zeta","ventilators",0,0,1
"Beta","Eta","ventilators",0,0,1
"Beta","Theta","ventilators",0,0,1
"Beta","Iota","ventilators",0,0,1
"Beta","Kappa","ventilators",0,0,1
"Gamma","Gamma","financial",0,0,1
"Gamma","Alpha","financial",0,0,1
"Gamma","Beta","financial",0,0,1
"Gamma","Delta","financial",0,0,1
"Gamma","Epsilon","financial",0,0,1
"Gamma","Zeta","financial",0,0,1
"Gamma","Eta","financial",0,0,1
"Gamma","Theta","financial",0,0,1
"Gamma","Iota","financial",0,0,1
"Gamma","Kappa","financial",0,0,1
"Gamma","Gamma","vaccines",0,0,1
"Gamma","Alpha","vaccines",0,0,1
"Gamma","Beta","vaccines",0,0,1
"Gamma","Delta","vaccines",0,0,1
"Gamma","Epsilon","vaccines",0,0,1
"Gamma","Zeta","vaccines",0,0,1
"Gamma","Eta","vaccines",0,0,1
"Gamma","Theta","vaccines",0,0,1
"Gamma","Iota","vaccines",0,0,1
"Gamma","Kappa","vaccines",0,0,1
"Gamma","Gamma","antivirals",0,0,1
"Gamma","Alpha","antivirals",0,0,1
"Gamma","Beta","antivirals",0,0,1
"Gamma","Delta","antivirals",0,0,1
"Gamma","Epsilon","antivirals",0,0,1
"Gamma","Zeta","antivirals",0,0,1
"Gamma","Eta","antivirals",0,0,1
"Gamma","Theta","antivirals",0,0,1
"Gamma","Iota","antivirals",0,0,1
"Gamma","Kappa","antivirals",0,0,1
"Gamma","Gamma","ventilators",0,0,1
"Gamma","Alpha","ventilators",0,0,1
"Gamma","Beta","ventilators",0,0,1
