time,sStock
0,100
0.25,102.475
0.5,105.01062218593749
0.75,107.60831966365623
1,110.26957877909555
1.25,112.99591979856264
1.5,115.7888975987989
1.75,118.65010236675101
2,121.58116030894068
2.25,124.58373437030903
2.5,127.65952496239262
2.75,130.81027070066838
3,134.03774915088314
3.25,137.34377758416164
3.5,140.73021374066298
3.75,144.19895660153082
4,147.75194716885667
4.25,151.3911692533476
4.5,155.11865026936155
4.75,158.93646203694212
5,162.84672159045363
5.25,166.85159199338307
5.5,170.95328315884083
5.75,175.1540526752549
6,179.45620663671485
6.25,183.86210047738163
6.5,188.37413980933627
6.75,192.9947812631974
7,197.72653333079026
7.25,202.5719572091025
7.5,207.53366764471124
7.75,212.61433377781387
8,217.81667998493975
8.25,223.1434867193641
8.5,228.597591348185
8.75,234.18188898496416
9,239.89933331676684
9.25,245.75293742437145
9.5,251.74577459434897
9.75,257.88097912164244
10,264.1617471012017
10.25,270.59133720715283
10.5,277.1730714579028
10.75,283.9103359654968
11,290.8065816674641
11.25,297.86532503929794
11.5,305.09014878562846
11.75,312.48470250805406
12,320.05270334750156
12.25,327.797936598889
12.5,335.72425629576503
12.75,343.8355857624958
13,352.1359181314666
13.25,360.62931682265753
13.5,369.319915982844
13.75,378.2119208815612
14,387.3096082608579
14.25,396.6173266357514
14.5,406.13949654217595
14.75,415.88061072910153
15,425.84523429137806
15.25,436.0380047397408
15.5,446.4636320042908
15.75,457.1268983676419
16,468.0326583238049
16.25,479.1858383587559
16.5,490.59143664851587
16.75,502.25452267044665
17,514.1802367233505
17.25,526.3737893518421
17.5,538.8404606703466
17.75,551.5855995819667
18,564.6146228873504
18.25,577.9330142785885
18.5,591.5463232130704
18.75,605.46016366213
19,619.6802127292287
19.25,634.2122091323391
19.5,649.0619515451162
19.75,664.2352967913853
20,679.738157887411
20.25,695.5765019263758
20.5,711.7563477994549
20.75,728.2837637478593
21,745.1648647402089
21.25,762.4058096696059
21.5,780.0127983648011
21.75,797.9920684098889
22,816.3498917670235
22.25,835.092571196729
22.5,854.2264364704772
22.75,873.7578403703266
23,893.6931544705632
23.25,914.0387646964584
23.5,934.8010666554503
23.75,955.9864607362862
24,977.6013469719156
24.25,999.6521196622102
24.5,1022.1451617529026
24.75,1045.086838967488
25,1068.4834936892175
25.25,1092.3414385907322
25.5,1116.6669500093444
25.75,1141.46626106647
26,1166.7455545302491
26.25,1192.510955420965
26.5,1218.7685233594916
26.75,1245.5242446596492
27,1272.7840241660529
27.25,1300.5536768397733
27.5,1328.838919094914
27.75,1357.6453598900334
28,1386.978491579207
28.25,1416.8436805284289
28.5,1447.2461575040063
28.75,1478.1910078405813
29,1509.6831613974439
29.25,1541.7273823128626
29.5,1574.328258567251
29.75,1607.4901913671238
30,1641.217384362948
30.25,1675.5138327151838
30.5,1710.3833120240135
30.75,1745.8293671394883
31,1781.855300870059
31.25,1818.4641626087137
31.5,1855.658736897201
31.75,1893.4415319500736
32,1931.814768161542
32.25,1970.780366619363
32.5,2010.3399376512161
32.75,2050.4947694302077
33,2091.2458166673114
33.25,2132.593689419673
33.5,2174.538642044783
33.75,2217.0805623315377
34,2260.2189608401554
34.25,2303.952960483806
34.5,2348.2812863855956
34.75,2393.2022560452638
35,2438.713769850545
35.25,2484.813301968662
35.5,2531.4978916537775
35.75,2578.7641350065032
36,2626.608177221676
36.25,2675.0257053605987
36.5,2724.011941683764
36.75,2773.5616375797686
37,2823.6690681256273
37.25,2874.3280273130445
37.5,2925.5318239743774
37.75,2977.2732784410196
38,3029.544719965748
38.25,3082.337984939211
38.5,3135.644415929193
38.75,3189.454861569553
39,3243.759677323818
39.25,3298.5487271463335
39.5,3353.811386061595
39.75,3409.536543679944
40,3465.71260866522
40.25,3522.327514167198
40.5,3579.3687242287297
40.75,3636.8232411744807
41,3694.677613984976
41.25,3752.917947656396
41.5,3811.529913543202
41.75,3870.498760677195
42,3929.8093280531157
